Date,Rent_GBP,Purchase_Price_GBP,Mortgage_Rate_pct,Mortgage_Rate_CFMBJ95_pct,Rate_75LTV_pct,Rate_90LTV_pct,Rate_95LTV_pct,Bank_Rate_pct
2005-01-31,775.0,149713.0,5.3155,5.31,5.2,5.3155,5.41,4.75
2005-02-28,775.0,149748.0,5.327,5.33,5.25,5.327,5.39,4.75
2005-03-31,776.0,150724.0,5.3955,5.33,5.28,5.3955,5.49,4.75
2005-04-30,777.0,152323.0,5.351,5.34,5.23,5.351,5.45,4.75
2005-05-31,779.0,153954.0,5.204,5.34,5.05,5.204,5.33,4.75
2005-06-30,780.0,154903.0,5.0409999999999995,5.34,4.92,5.0409999999999995,5.14,4.75
2005-07-31,782.0,156496.0,4.928,5.27,4.84,4.928,5.0,4.75
2005-08-31,784.0,157142.0,4.927,5.14,4.85,4.927,4.99,4.5341
2005-09-30,786.0,156885.0,4.908,4.97,4.82,4.908,4.98,4.5
2005-10-31,787.0,156384.0,4.938,4.93,4.85,4.938,5.01,4.5
2005-11-30,789.0,157012.0,5.0845,4.9,4.98,5.0845,5.17,4.5
2005-12-31,791.0,157901.0,5.1045,4.89,5.0,5.1045,5.19,4.5
2006-01-31,794.0,157240.0,5.0245,4.94,4.92,5.0245,5.11,4.5
2006-02-28,795.0,157572.0,5.0455,4.98,4.93,5.0455,5.14,4.5
2006-03-31,796.0,158616.0,5.068,4.97,4.98,5.068,5.14,4.5
2006-04-30,798.0,161569.0,5.1615,4.97,5.09,5.1615,5.22,4.5
2006-05-31,799.0,163051.0,5.4205,4.95,5.36,5.4205,5.47,4.5
2006-06-30,800.0,164498.0,5.4719999999999995,4.94,5.34,5.4719999999999995,5.58,4.5
2006-07-31,802.0,166323.0,5.4695,4.97,5.31,5.4695,5.6,4.5
2006-08-31,803.0,167681.0,5.559500000000001,5.09,5.4,5.559500000000001,5.69,4.7273
2006-09-30,805.0,168315.0,5.544,5.16,5.39,5.544,5.67,4.75
2006-10-31,806.0,168931.0,5.514,5.17,5.36,5.514,5.64,4.75
2006-11-30,807.0,169678.0,5.612,5.21,5.48,5.612,5.72,4.9318
2006-12-31,809.0,171862.0,5.611,5.25,5.49,5.611,5.71,5.0
2007-01-31,811.0,171666.0,5.764,5.34,5.61,5.764,5.89,5.1705
2007-02-28,813.0,172207.0,5.8785,5.43,5.73,5.8785,6.0,5.25
2007-03-31,815.0,173449.0,5.8950000000000005,5.43,5.73,5.8950000000000005,6.03,5.25
2007-04-30,817.0,176281.0,6.01,5.47,5.9,6.01,6.1,5.25
2007-05-31,819.0,178266.0,5.974,5.52,5.82,5.974,6.1,5.4286
2007-06-30,820.0,180161.0,6.281499999999999,5.59,6.1,6.281499999999999,6.43,5.5
2007-07-31,823.0,182558.0,6.473,5.71,6.33,6.473,6.59,5.7159
2007-08-31,825.0,183472.0,6.511,5.88,6.28,6.511,6.7,5.75
2007-09-30,828.0,183883.0,6.454000000000001,5.94,6.19,6.454000000000001,6.67,5.75
2007-10-31,830.0,183823.0,6.45,5.96,6.23,6.45,6.63,5.75
2007-11-30,833.0,183636.0,6.327999999999999,6.02,6.02,6.327999999999999,6.58,5.75
2007-12-31,836.0,183515.0,6.3165,5.95,5.97,6.3165,6.6,5.5395
2008-01-31,841.0,181037.0,6.141,5.92,5.91,6.141,6.33,5.5
2008-02-29,842.0,179448.0,6.0264999999999995,5.86,5.68,6.0264999999999995,6.31,5.2976
2008-03-31,844.0,178118.0,6.0905000000000005,5.82,5.7,6.0905000000000005,6.41,5.25
2008-04-30,845.0,178550.0,6.3835,5.77,5.85,6.3835,6.82,5.0795
2008-05-31,847.0,179175.0,6.588500000000001,5.8,6.11,6.588500000000001,6.98,5.0
2008-06-30,850.0,176883.0,6.8015,5.91,6.4,6.8015,7.13,5.0
2008-07-31,851.0,175462.0,6.7935,6.02,6.37,6.7935,7.14,5.0
2008-08-31,853.0,171355.0,6.6455,6.09,6.09,6.6455,7.1,5.0
2008-09-30,855.0,167330.0,6.5329999999999995,6.09,5.84,6.5329999999999995,7.1,5.0
2008-10-31,858.0,163571.0,6.71,5.89,5.88,6.71,6.96425,4.6087
2008-11-30,861.0,158831.0,6.88,5.25,5.47,6.88,7.13425,3.225
2008-12-31,863.0,156533.0,6.99,4.58,5.28,6.99,7.244250000000001,2.1429
2009-01-31,865.0,153585.0,6.43,4.14,4.94,6.43,6.6842500000000005,1.5952
2009-02-28,866.0,151964.0,6.27,4.22,4.97,6.27,6.52425,1.075
2009-03-31,866.0,150438.0,6.395,4.08,4.95,6.395,6.64925,0.5682
2009-04-30,867.0,151724.0,6.52,4.18,4.88,6.52,6.77425,0.5
2009-05-31,867.0,153648.0,6.645,4.27,4.93,6.645,6.89925,0.5
2009-06-30,867.0,155344.0,6.77,4.24,5.54,6.77,7.02425,0.5
2009-07-31,866.0,158306.0,6.77,4.23,5.68,6.77,7.02425,0.5
2009-08-31,865.0,160128.0,6.74,4.34,5.72,6.74,6.994250000000001,0.5
2009-09-30,864.0,161649.0,6.72,4.3,5.69,6.72,6.97425,0.5
2009-10-31,862.0,162688.0,6.85,4.28,5.67,6.85,7.10425,0.5
2009-11-30,861.0,163163.0,6.92,4.13,5.71,6.92,7.174250000000001,0.5
2009-12-31,859.0,164408.0,6.9399999999999995,4.06,5.67,6.9399999999999995,7.19425,0.5
2010-01-31,858.0,164711.0,6.91,3.9,5.56,6.91,7.164250000000001,0.5
2010-02-28,856.0,165457.0,6.92,3.83,5.5,6.92,7.174250000000001,0.5
2010-03-31,856.0,165002.0,6.91,3.86,5.5,6.91,7.164250000000001,0.5
2010-04-30,856.0,166919.0,6.95,3.89,5.5,6.95,7.20425,0.5
2010-05-31,856.0,167823.0,6.93,3.86,5.38,6.93,7.1842500000000005,0.5
2010-06-30,856.0,168675.0,6.8999999999999995,3.86,5.35,6.8999999999999995,7.154249999999999,0.5
2010-07-31,857.0,170434.0,6.819999999999999,3.84,5.24,6.819999999999999,7.074249999999999,0.5
2010-08-31,858.0,170706.0,6.6499999999999995,3.78,5.07,6.6499999999999995,6.904249999999999,0.5
2010-09-30,860.0,170162.0,6.569999999999999,3.79,5.04,6.569999999999999,6.824249999999999,0.5
2010-10-31,861.0,168152.0,6.4399999999999995,3.75,4.86,6.4399999999999995,6.69425,0.5
2010-11-30,863.0,166452.0,6.46,3.67,4.73,6.46,6.71425,0.5
2010-12-31,865.0,166202.0,6.45,3.64,4.76,6.45,6.70425,0.5
2011-01-31,869.0,164697.0,6.4799999999999995,3.54,5.03,6.4799999999999995,6.734249999999999,0.5
2011-02-28,870.0,164101.0,6.22,3.62,5.15,6.22,6.47425,0.5
2011-03-31,872.0,163378.0,6.21,3.7,5.1,6.21,6.46425,0.5
2011-04-30,873.0,165687.0,6.28,3.84,5.1,6.28,6.53425,0.5
2011-05-31,875.0,164910.0,6.2299999999999995,3.85,5.02,6.2299999999999995,6.484249999999999,0.5
2011-06-30,877.0,165071.0,6.069999999999999,3.85,4.9,6.069999999999999,6.324249999999999,0.5
2011-07-31,879.0,167266.0,6.05,3.69,4.69,6.05,6.30425,0.5
2011-08-31,881.0,167428.0,5.8,3.58,4.51,5.8,6.05425,0.5
2011-09-30,884.0,166907.0,5.569999999999999,3.5,3.98,5.569999999999999,5.824249999999999,0.5
2011-10-31,886.0,165385.0,5.609999999999999,3.47,4.0,5.609999999999999,5.86425,0.5
2011-11-30,888.0,165412.0,5.67,3.39,4.08,5.67,5.924250000000001,0.5
2011-12-31,891.0,165046.0,5.75,3.46,4.06,5.75,6.004250000000001,0.5
2012-01-31,893.0,164449.0,5.83,3.4,4.18,5.83,6.084250000000001,0.5
2012-02-29,895.0,164432.0,5.8999999999999995,3.5,4.17,5.8999999999999995,6.154249999999999,0.5
2012-03-31,896.0,164584.0,6.06,3.64,4.19,6.06,6.3142499999999995,0.5
2012-04-30,899.0,166680.0,6.09,3.63,4.29,6.09,6.344250000000001,0.5
2012-05-31,901.0,167136.0,6.37,3.74,4.28,6.37,6.62425,0.5
2012-06-30,903.0,168713.0,6.0,3.82,4.3,6.0,6.254250000000001,0.5
2012-07-31,905.0,169714.0,6.13,3.82,4.18,6.13,6.38425,0.5
2012-08-31,907.0,170066.0,6.2299999999999995,3.84,4.11,6.2299999999999995,6.484249999999999,0.5
2012-09-30,909.0,169532.0,6.1499999999999995,3.76,4.07,6.1499999999999995,6.404249999999999,0.5
2012-10-31,912.0,168445.0,5.9399999999999995,3.74,3.96,5.9399999999999995,6.19425,0.5
2012-11-30,913.0,168681.0,5.9399999999999995,3.72,3.92,5.9399999999999995,6.19425,0.5
2012-12-31,915.0,168440.0,5.6899999999999995,3.66,3.91,5.6899999999999995,5.94425,0.5
2013-01-31,916.0,166938.0,5.16,3.53,3.71,5.16,5.414250000000001,0.5
2013-02-28,918.0,167304.0,5.03,3.5,3.62,5.03,5.28425,0.5
2013-03-31,919.0,168234.0,4.97,3.43,3.63,4.97,5.22425,0.5
2013-04-30,920.0,169850.0,4.97,3.31,3.61,4.97,5.22425,0.5
2013-05-31,922.0,170531.0,4.91,3.27,3.44,4.91,5.164250000000001,0.5
2013-06-30,923.0,171916.0,4.89,3.23,3.41,4.89,5.1442499999999995,0.5
2013-07-31,925.0,173979.0,4.88,3.17,3.39,4.88,5.13425,0.5
2013-08-31,926.0,175271.0,4.819999999999999,3.16,3.35,4.819999999999999,5.074249999999999,0.5
2013-09-30,927.0,175686.0,4.859999999999999,3.09,3.4,4.859999999999999,5.11425,0.5
2013-10-31,928.0,175003.0,4.72,3.04,3.37,4.72,4.97425,0.5
2013-11-30,930.0,175855.0,4.438000000000001,3.05,3.36,4.438000000000001,5.32,0.5
2013-12-31,931.0,178011.0,4.4455,3.06,3.34,4.4455,5.35,0.5
2014-01-31,932.0,177748.0,4.495,3.01,3.34,4.495,5.44,0.5
2014-02-28,932.0,178769.0,4.550000000000001,3.05,3.45,4.550000000000001,5.45,0.5
2014-03-31,934.0,179421.0,4.569,3.07,3.48,4.569,5.46,0.5
2014-04-30,935.0,183399.0,4.713,3.07,3.69,4.713,5.55,0.5
2014-05-31,936.0,185212.0,4.737500000000001,3.13,3.72,4.737500000000001,5.57,0.5
2014-06-30,937.0,186892.0,4.7295,3.15,3.69,4.7295,5.58,0.5
2014-07-31,939.0,189606.0,4.77,3.2,3.78,4.77,5.58,0.5
2014-08-31,940.0,192042.0,4.761,3.21,3.76,4.761,5.58,0.5
2014-09-30,941.0,192263.0,4.721,3.22,3.61,4.721,5.63,0.5
2014-10-31,943.0,191952.0,4.5405,3.18,3.27,4.5405,5.58,0.5
2014-11-30,945.0,191380.0,4.4805,3.1,3.21,4.4805,5.52,0.5
2014-12-31,947.0,191986.0,4.431,3.0,3.21,4.431,5.43,0.5
2015-01-31,950.0,191523.0,4.1735,2.81,3.09,4.1735,5.06,0.5
2015-02-28,952.0,192060.0,4.1335,2.78,3.05,4.1335,5.02,0.5
2015-03-31,955.0,191999.0,4.08,2.68,2.98,4.08,4.98,0.5
2015-04-30,959.0,194432.0,4.053000000000001,2.64,2.92,4.053000000000001,4.98,0.5
2015-05-31,963.0,196630.0,4.015000000000001,2.59,2.86,4.015000000000001,4.96,0.5
2015-06-30,965.0,198149.0,3.997,2.56,2.82,3.997,4.96,0.5
2015-07-31,967.0,201590.0,4.007,2.57,2.83,4.007,4.97,0.5
2015-08-31,971.0,203703.0,4.047499999999999,2.57,2.92,4.047499999999999,4.97,0.5
2015-09-30,975.0,204263.0,3.9619999999999997,2.57,2.84,3.9619999999999997,4.88,0.5
2015-10-31,977.0,204572.0,3.9405,2.52,2.78,3.9405,4.89,0.5
2015-11-30,979.0,206293.0,3.9139999999999997,2.55,2.77,3.9139999999999997,4.85,0.5
2015-12-31,981.0,207315.0,3.8885000000000005,2.55,2.75,3.8885000000000005,4.82,0.5
2016-01-31,983.0,208050.0,3.7965,2.49,2.68,3.7965,4.71,0.5
2016-02-29,985.0,208301.0,3.8135000000000003,2.51,2.73,3.8135000000000003,4.7,0.5
2016-03-31,989.0,210224.0,3.7889999999999997,2.49,2.7,3.7889999999999997,4.68,0.5
2016-04-30,992.0,211282.0,3.81,2.41,2.71,3.81,4.71,0.5
2016-05-31,996.0,213723.0,3.762,2.41,2.64,3.762,4.68,0.5
2016-06-30,999.0,215668.0,3.7005000000000003,2.41,2.54,3.7005000000000003,4.65,0.5
2016-07-31,1003.0,217970.0,3.6870000000000003,2.31,2.51,3.6870000000000003,4.65,0.5
2016-08-31,1006.0,218261.0,3.6275,2.31,2.39,3.6275,4.64,0.2841
2016-09-30,1009.0,217952.0,3.5940000000000003,2.27,2.34,3.5940000000000003,4.62,0.25
2016-10-31,1011.0,217098.0,3.5294999999999996,2.16,2.27,3.5294999999999996,4.56,0.25
2016-11-30,1014.0,218146.0,3.5425,2.17,2.25,3.5425,4.6,0.25
2016-12-31,1016.0,218965.0,3.5469999999999997,2.15,2.26,3.5469999999999997,4.6,0.25
2017-01-31,1018.0,218655.0,3.5180000000000002,2.05,2.22,3.5180000000000002,4.58,0.25
2017-02-28,1019.0,219696.0,3.531,2.1,2.2,3.531,4.62,0.25
2017-03-31,1021.0,218812.0,3.5525,2.11,2.15,3.5525,4.7,0.25
2017-04-30,1023.0,221891.0,3.5255,2.04,2.09,3.5255,4.7,0.25
2017-05-31,1023.0,223502.0,3.5095,2.06,2.03,3.5095,4.72,0.25
2017-06-30,1025.0,225265.0,3.5025000000000004,2.06,1.99,3.5025000000000004,4.74,0.25
2017-07-31,1028.0,227919.0,3.455,1.96,1.97,3.455,4.67,0.25
2017-08-31,1028.0,229074.0,3.4285,2.0,1.96,3.4285,4.63,0.25
2017-09-30,1027.0,228519.0,3.429,1.99,1.9,3.429,4.68,0.25
2017-10-31,1029.0,228484.0,3.5085,1.92,2.04,3.5085,4.71,0.25
2017-11-30,1030.0,227618.0,3.4370000000000003,1.99,2.04,3.4370000000000003,4.58,0.4886
2017-12-31,1030.0,228837.0,3.4285,2.02,2.07,3.4285,4.54,0.5
2018-01-31,1029.0,227594.0,3.3605,2.04,1.98,3.3605,4.49,0.5
2018-02-28,1031.0,228471.0,3.3705,2.06,1.99,3.3705,4.5,0.5
2018-03-31,1029.0,226996.0,3.3510000000000004,2.07,2.02,3.3510000000000004,4.44,0.5
2018-04-30,1029.0,228855.0,3.308,2.11,2.01,3.308,4.37,0.5
2018-05-31,1029.0,229845.0,3.3635,2.12,2.06,3.3635,4.43,0.5
2018-06-30,1030.0,231277.0,3.328,2.13,2.03,3.328,4.39,0.5
2018-07-31,1032.0,234127.0,3.2775,2.11,2.04,3.2775,4.29,0.5
2018-08-31,1034.0,234731.0,3.196,2.12,2.03,3.196,4.15,0.7386
2018-09-30,1035.0,234380.0,3.0715,2.12,2.01,3.0715,3.94,0.75
2018-10-31,1038.0,233916.0,3.061,2.13,2.06,3.061,3.88,0.75
2018-11-30,1040.0,233144.0,3.0045,2.14,2.02,3.0045,3.81,0.75
2018-12-31,1042.0,232616.0,2.9505,2.15,2.01,2.9505,3.72,0.75
2019-01-31,1043.0,230974.0,2.9245,2.11,2.05,2.9245,3.64,0.75
2019-02-28,1045.0,230772.0,2.56,2.1,2.05,2.56,3.6,0.75
2019-03-31,1045.0,229408.0,2.56,2.13,2.03,2.56,3.57,0.75
2019-04-30,1046.0,230994.0,2.54,2.11,2.0,2.54,3.46,0.75
2019-05-31,1051.0,231245.0,2.54,2.09,1.99,2.54,3.46,0.75
2019-06-30,1051.0,232112.0,2.53,2.03,1.97,2.53,3.44,0.75
2019-07-31,1052.0,234587.0,2.54,2.06,1.93,2.54,3.39,0.75
2019-08-31,1054.0,235298.0,2.5,2.06,1.89,2.5,3.39,0.75
2019-09-30,1058.0,235691.0,2.5,2.02,1.79,2.5,3.37,0.75
2019-10-31,1060.0,234940.0,2.49,1.98,1.71,2.49,3.38,0.75
2019-11-30,1062.0,234020.0,2.5,1.88,1.67,2.5,3.37,0.75
2019-12-31,1064.0,234237.0,2.49,1.89,1.67,2.49,3.37,0.75
2020-01-31,1065.0,234049.0,2.49,1.87,1.68,2.49,3.34,0.75
2020-02-29,1067.0,232955.0,2.49,1.82,1.67,2.49,3.28,0.75
2020-03-31,1068.0,235204.0,2.48,1.84,1.66,2.48,3.29,0.3477
2020-04-30,1067.0,232657.0,2.39,1.77,1.67,2.39,3.39,0.1
2020-05-31,1069.0,233673.0,2.33,1.74,1.7,2.33,3.49,0.1
2020-06-30,1069.0,236731.0,2.5,1.79,1.69,2.5,3.77,0.1
2020-07-31,1071.0,239080.0,2.86,1.75,1.7,2.86,4.04,0.1
2020-08-31,1072.0,241511.0,3.02,1.73,1.79,3.02,4.07,0.1
2020-09-30,1073.0,243733.0,3.95,1.75,1.92,3.95,4.23,0.1
2020-10-31,1075.0,245090.0,4.16,1.8,2.05,4.16,4.21,0.1
2020-11-30,1075.0,247749.0,4.07,1.84,2.05,4.07,4.37,0.1
2020-12-31,1075.0,250168.0,3.8,1.91,2.0,3.8,4.37,0.1
2021-01-31,1076.0,249890.0,3.65,1.85,1.92,3.65,4.41,0.1
2021-02-28,1078.0,251309.0,3.51,1.92,1.8,3.51,4.41,0.1
2021-03-31,1079.0,254407.0,3.45,1.96,1.74,3.45,4.3,0.1
2021-04-30,1078.0,250703.0,3.45,1.89,1.71,3.45,4.11,0.1
2021-05-31,1079.0,251203.0,3.43,1.91,1.68,3.43,4.02,0.1
2021-06-30,1081.0,266129.0,3.36,1.95,1.6,3.36,3.91,0.1
2021-07-31,1082.0,250545.0,3.2,1.84,1.45,3.2,3.77,0.1
2021-08-31,1084.0,259193.0,2.96,1.83,1.39,2.96,3.63,0.1
2021-09-30,1087.0,268041.0,2.74,1.79,1.28,2.74,3.46,0.1
2021-10-31,1091.0,259748.0,2.62,1.6,1.3,2.62,3.28,0.1
2021-11-30,1095.0,265662.0,2.58,1.51,1.52,2.58,3.2,0.1
2021-12-31,1100.0,267793.0,2.47,1.59,1.59,2.47,3.11,0.1714
2022-01-31,1104.0,270231.0,2.41,1.59,1.63,2.41,3.07,0.25
2022-02-28,1109.0,271265.0,2.42,1.6,1.79,2.42,3.05,0.475
2022-03-31,1112.0,272225.0,2.56,1.74,2.11,2.56,3.08,0.6196
2022-04-30,1116.0,274812.0,2.67,1.83,2.35,2.67,3.11,0.75
2022-05-31,1120.0,278084.0,2.86,1.96,2.62,2.86,3.26,0.9762
2022-06-30,1124.0,281116.0,3.18,2.16,2.9,3.18,3.51,1.1375
2022-07-31,1130.0,286526.0,3.66,2.33,3.43,3.66,4.0,1.25
2022-08-31,1135.0,289294.0,3.8,2.56,3.61,3.8,4.17,1.6818
2022-09-30,1142.0,290185.0,4.16,2.85,3.97,4.16,4.54,1.9167
2022-10-31,1146.0,289993.0,5.8,3.1,5.61,5.8,6.12,2.25
2022-11-30,1153.0,290003.0,5.84,3.36,5.5,5.84,6.2,2.9318
2022-12-31,1160.0,288198.0,5.41,3.68,5.05,5.41,5.87,3.25
2023-01-31,1166.0,285817.0,5.06,3.89,4.66,5.06,5.56,3.5
2023-02-28,1173.0,283907.0,4.73,4.26,4.36,4.73,5.31,3.975
2023-03-31,1179.0,279592.0,4.66,4.44,4.26,4.66,5.19,4.0761
2023-04-30,1188.0,280054.0,4.57,4.48,4.16,4.57,5.08,4.25
2023-05-31,1198.0,279846.0,4.62,4.57,4.28,4.62,5.15,4.425
2023-06-30,1207.0,281585.0,5.2,4.64,4.95,5.2,5.7,4.6591
2023-07-31,1216.0,284246.0,5.87,4.67,5.71,5.87,6.26,5.0
2023-08-31,1224.0,285690.0,5.82,4.84,5.53,5.82,6.27,5.2273
2023-09-30,1232.0,284428.0,5.62,5.03,5.24,5.62,6.01,5.25
2023-10-31,1240.0,283147.0,5.38,5.27,5.02,5.38,5.87,5.25
2023-11-30,1247.0,281026.0,5.18,5.37,4.89,5.18,5.71,5.25
2023-12-31,1255.0,278664.0,5.01,5.29,4.68,5.01,5.52,5.25
2024-01-31,1264.0,278060.0,4.84,5.21,4.43,4.84,5.24,5.25
2024-02-29,1276.0,276935.0,4.7,4.91,4.41,4.7,5.16,5.25
2024-03-31,1285.0,276971.0,4.85,4.76,4.53,4.85,5.3,5.25
2024-04-30,1293.0,277945.0,4.91,4.76,4.51,4.91,5.34,5.25
2024-05-31,1302.0,280824.0,5.07,4.81,4.66,5.07,5.48,5.25
2024-06-30,1311.0,281611.0,5.07,4.84,4.64,5.07,5.47,5.25
2024-07-31,1319.0,284105.0,5.01,4.84,4.49,5.01,5.43,5.25
2024-08-31,1327.0,287343.0,4.88,4.86,4.33,4.88,5.33,5.0
2024-09-30,1336.0,287576.0,4.73,4.78,4.09,4.73,5.23,5.0
2024-10-31,1348.0,287595.0,4.69,4.62,4.06,4.69,5.14,5.0
2024-11-30,1362.0,286814.0,4.8,4.52,4.29,4.8,5.24,4.7976
2024-12-31,1370.0,287035.0,4.8,4.48,4.37,4.8,5.24,4.75
2025-01-31,1375.0,287264.0,4.8,4.52,4.37,4.8,5.25,4.75
2025-02-28,1381.0,287794.0,4.81,4.54,4.38,4.81,5.26,4.5375
2025-03-31,1386.0,291748.0,4.71,4.51,4.32,4.71,5.12,4.5
2025-04-30,1390.0,280500.0,4.66,4.5,4.29,4.66,5.04,4.5
2025-05-31,1394.0,285526.0,4.57,4.48,4.19,4.57,4.95,4.3
2025-06-30,1399.0,288115.0,4.58,4.34,4.26,4.58,4.96,4.25
2025-07-31,1398.0,290335.0,4.5,4.28,4.15,4.5,4.88,4.25
2025-08-31,1403.0,292584.0,4.43,4.27,4.11,4.43,4.86,4.05
2025-09-30,1410.0,291120.0,4.51,4.2,4.16,4.51,4.9,4.0
2025-10-31,1416.0,292106.0,4.49,4.18,4.17,4.49,4.88,4.0
2025-11-30,1422.0,293386.0,4.41,4.2,4.06,4.41,4.81,4.0
2025-12-31,1424.0,290432.0,4.35,4.16,3.99,4.35,4.75,3.9048
2026-01-31,1423.0,290316.0,4.3,4.1,3.94,4.3,4.73,3.75
2026-02-28,1430.0,291094.0,4.32,4.11,4.0,4.32,4.77,3.75
2026-03-31,1434.0,290410.0,4.72,4.04,4.42,4.72,5.12,3.75
2026-04-30,1438.0,291829.0,5.22,4.08,4.98,5.22,5.63,3.75
2026-05-31,1442.0,292707.0,5.1,4.23,4.8,5.1,5.42,3.75
2026-06-30,1446.0,293262.0,4.94,4.36,4.65,4.94,5.32,3.75
