Date,Rent_GBP,Purchase_Price_GBP,Mortgage_Rate_pct,Mortgage_Rate_CFMBJ95_pct,Rate_75LTV_pct,Rate_90LTV_pct,Rate_95LTV_pct,Bank_Rate_pct
2005-01-31,692.3606900156822,162311.85694371842,5.3155,5.31,5.2,5.3155,5.41,4.75
2005-02-28,693.3307196375675,162134.59609688097,5.327,5.33,5.25,5.327,5.39,4.75
2005-03-31,693.903815995818,162753.73741069873,5.3955,5.33,5.28,5.3955,5.49,4.75
2005-04-30,695.1610036591741,164538.02613695766,5.351,5.34,5.23,5.351,5.45,4.75
2005-05-31,696.9311726781668,165955.3950165534,5.204,5.34,5.05,5.204,5.33,4.75
2005-06-30,697.9794389266423,166719.73044084333,5.0409999999999995,5.34,4.92,5.0409999999999995,5.14,4.75
2005-07-31,699.5676947203345,168342.05802404598,4.928,5.27,4.84,4.928,5.0,4.75
2005-08-31,701.4418888308066,168912.86356508103,4.927,5.14,4.85,4.927,4.99,4.5341
2005-09-30,703.1745948771563,168769.23453563338,4.908,4.97,4.82,4.908,4.98,4.5
2005-10-31,704.3829935528837,168012.4394493814,4.938,4.93,4.85,4.938,5.01,4.5
2005-11-30,705.5417320090609,168703.64854504267,5.0845,4.9,4.98,5.0845,5.17,4.5
2005-12-31,707.9984317825406,169680.87767903815,5.1045,4.89,5.0,5.1045,5.19,4.5
2006-01-31,710.2780972294825,169378.86739850146,5.0245,4.94,4.92,5.0245,5.11,4.5
2006-02-28,711.1803450078411,169526.0491374804,5.0455,4.98,4.93,5.0455,5.14,4.5
2006-03-31,712.4471162223383,170666.36539466804,5.068,4.97,4.98,5.068,5.14,4.5
2006-04-30,713.6931521170936,173621.6304234187,5.1615,4.97,5.09,5.1615,5.22,4.5
2006-05-31,715.1629203694023,175111.0791078585,5.4205,4.95,5.36,5.4205,5.47,4.5
2006-06-30,716.1597839344832,176893.81285938318,5.4719999999999995,4.94,5.34,5.4719999999999995,5.58,4.5
2006-07-31,717.5893012719986,178914.61787767903,5.4695,4.97,5.31,5.4695,5.6,4.5
2006-08-31,718.8292385433002,180301.45617703433,5.559500000000001,5.09,5.4,5.559500000000001,5.69,4.7273
2006-09-30,720.1409653249694,180955.34849276877,5.544,5.16,5.39,5.544,5.67,4.75
2006-10-31,720.9738630423419,181772.50583725385,5.514,5.17,5.36,5.514,5.64,4.75
2006-11-30,722.314340477435,182469.82052622407,5.612,5.21,5.48,5.612,5.72,4.9318
2006-12-31,724.160480920021,184989.02892489982,5.611,5.25,5.49,5.611,5.71,5.0
2007-01-31,726.1507231224952,185315.91792995296,5.764,5.34,5.61,5.764,5.89,5.1705
2007-02-28,727.3234012894231,186044.06534239414,5.8785,5.43,5.73,5.8785,6.0,5.25
2007-03-31,728.9083464018121,187411.80048788985,5.8950000000000005,5.43,5.73,5.8950000000000005,6.03,5.25
2007-04-30,731.0423418714063,190284.23749782192,6.01,5.47,5.9,6.01,6.1,5.25
2007-05-31,732.3125980135912,192650.8111169193,5.974,5.52,5.82,5.974,6.1,5.4286
2007-06-30,733.7213800313643,194733.35232618923,6.281499999999999,5.59,6.1,6.281499999999999,6.43,5.5
2007-07-31,735.7266074228961,197868.0900853807,6.473,5.71,6.33,6.473,6.59,5.7159
2007-08-31,738.0501829587035,198866.26537724346,6.511,5.88,6.28,6.511,6.7,5.75
2007-09-30,740.3610385084509,199570.4790033107,6.454000000000001,5.94,6.19,6.454000000000001,6.67,5.75
2007-10-31,742.5321484579194,199504.92246035894,6.45,5.96,6.23,6.45,6.63,5.75
2007-11-30,744.8639135737933,199293.17285241332,6.327999999999999,6.02,6.02,6.327999999999999,6.58,5.75
2007-12-31,747.2183307196376,199037.36190974037,6.3165,5.95,5.97,6.3165,6.6,5.5395
2008-01-31,750.8515420805019,197208.47046523783,6.141,5.92,5.91,6.141,6.33,5.5
2008-02-29,751.8410872974385,195232.60202125803,6.0264999999999995,5.86,5.68,6.0264999999999995,6.31,5.2976
2008-03-31,753.5570656908869,193856.19236800837,6.0905000000000005,5.82,5.7,6.0905000000000005,6.41,5.25
2008-04-30,754.974385781495,194065.18017076145,6.3835,5.77,5.85,6.3835,6.82,5.0795
2008-05-31,756.4380554103502,194616.74281233663,6.588500000000001,5.8,6.11,6.588500000000001,6.98,5.0
2008-06-30,758.645234361387,192109.10419933786,6.8015,5.91,6.4,6.8015,7.13,5.0
2008-07-31,760.0358947551838,191084.2913399547,6.7935,6.02,6.37,6.7935,7.14,5.0
2008-08-31,761.6933263634779,186174.2077016902,6.6455,6.09,6.09,6.6455,7.1,5.0
2008-09-30,763.6692803624323,181917.77295696113,6.5329999999999995,6.09,5.84,6.5329999999999995,7.1,5.0
2008-10-31,766.0987976999477,177519.01864436312,6.71,5.89,5.88,6.71,6.96425,4.6087
2008-11-30,768.2399372713014,172411.5234361387,6.88,5.25,5.47,6.88,7.13425,3.225
2008-12-31,770.2434221989893,169777.19794389268,6.99,4.58,5.28,6.99,7.244250000000001,2.1429
2009-01-31,771.8733228785502,166820.6720683046,6.43,4.14,4.94,6.43,6.6842500000000005,1.5952
2009-02-28,772.5746645757101,164939.66596968114,6.27,4.22,4.97,6.27,6.52425,1.075
2009-03-31,772.5469594005923,163365.87314863215,6.395,4.08,4.95,6.395,6.64925,0.5682
2009-04-30,773.1097752221642,164272.856769472,6.52,4.18,4.88,6.52,6.77425,0.5
2009-05-31,773.2669454608815,166336.05279665446,6.645,4.27,4.93,6.645,6.89925,0.5
2009-06-30,773.3007492594528,168198.26398327234,6.77,4.24,5.54,6.77,7.02425,0.5
2009-07-31,772.4533890921764,171348.0913051054,6.77,4.23,5.68,6.77,7.02425,0.5
2009-08-31,771.770343265377,173401.73427426378,6.74,4.34,5.72,6.74,6.994250000000001,0.5
2009-09-30,770.8496253702735,175627.2540512284,6.72,4.3,5.69,6.72,6.97425,0.5
2009-10-31,769.2636347795783,176665.00714410175,6.85,4.28,5.67,6.85,7.10425,0.5
2009-11-30,768.2225126328628,177080.6830458268,6.92,4.13,5.71,6.92,7.174250000000001,0.5
2009-12-31,766.6011500261369,178383.77051751176,6.9399999999999995,4.06,5.67,6.9399999999999995,7.19425,0.5
2010-01-31,764.9956438403902,179987.8355114131,6.91,3.9,5.56,6.91,7.164250000000001,0.5
2010-02-28,763.7746994249869,180391.19149677642,6.92,3.83,5.5,6.92,7.174250000000001,0.5
2010-03-31,763.4924202822791,180136.3669628855,6.91,3.86,5.5,6.91,7.164250000000001,0.5
2010-04-30,763.2077016901899,181965.50723122497,6.95,3.89,5.5,6.95,7.20425,0.5
2010-05-31,763.4155776267643,182863.0836382645,6.93,3.86,5.38,6.93,7.1842500000000005,0.5
2010-06-30,764.0263112040425,183893.46680606378,6.8999999999999995,3.86,5.35,6.8999999999999995,7.154249999999999,0.5
2010-07-31,764.6910611604808,186376.79038159957,6.819999999999999,3.84,5.24,6.819999999999999,7.074249999999999,0.5
2010-08-31,765.8229656734622,186499.37881163965,6.6499999999999995,3.78,5.07,6.6499999999999995,6.904249999999999,0.5
2010-09-30,766.6971597839345,185937.61665795435,6.569999999999999,3.79,5.04,6.569999999999999,6.824249999999999,0.5
2010-10-31,768.0838125108903,183810.02369750824,6.4399999999999995,3.75,4.86,6.4399999999999995,6.69425,0.5
2010-11-30,769.7069175814601,181862.4394493814,6.46,3.67,4.73,6.46,6.71425,0.5
2010-12-31,771.456874019864,181793.2354068653,6.45,3.64,4.76,6.45,6.70425,0.5
2011-01-31,774.3261892315734,180733.02491723295,6.4799999999999995,3.54,5.03,6.4799999999999995,6.734249999999999,0.5
2011-02-28,775.3354242899459,179953.18836034153,6.22,3.62,5.15,6.22,6.47425,0.5
2011-03-31,776.7229482488237,179445.80623802057,6.21,3.7,5.1,6.21,6.46425,0.5
2011-04-30,778.2564906778184,181951.8001393971,6.28,3.84,5.1,6.28,6.53425,0.5
2011-05-31,779.3620839867573,180404.44119184525,6.2299999999999995,3.85,5.02,6.2299999999999995,6.484249999999999,0.5
2011-06-30,781.0351977696463,180765.77574490328,6.069999999999999,3.85,4.9,6.069999999999999,6.324249999999999,0.5
2011-07-31,782.4892838473601,183774.58302840215,6.05,3.69,4.69,6.05,6.30425,0.5
2011-08-31,784.2249520822443,183812.32601498518,5.8,3.58,4.51,5.8,6.05425,0.5
2011-09-30,786.4181913225301,183301.05314514725,5.569999999999999,3.5,3.98,5.569999999999999,5.824249999999999,0.5
2011-10-31,787.7020386826973,181748.89667189404,5.609999999999999,3.47,4.0,5.609999999999999,5.86425,0.5
2011-11-30,789.6070744032061,181623.49137480397,5.67,3.39,4.08,5.67,5.924250000000001,0.5
2011-12-31,792.0540163791601,181538.92524830106,5.75,3.46,4.06,5.75,6.004250000000001,0.5
2012-01-31,794.0787593657433,181156.3234012894,5.83,3.4,4.18,5.83,6.084250000000001,0.5
2012-02-29,795.4931172678166,180993.74978219203,5.8999999999999995,3.5,4.17,5.8999999999999995,6.154249999999999,0.5
2012-03-31,796.6156124760412,180826.60550618573,6.06,3.64,4.19,6.06,6.3142499999999995,0.5
2012-04-30,798.5352848928385,183769.75971423593,6.09,3.63,4.29,6.09,6.344250000000001,0.5
2012-05-31,800.1557762676424,184698.34657605854,6.37,3.74,4.28,6.37,6.62425,0.5
2012-06-30,801.6107335772782,186097.69942498693,6.0,3.82,4.3,6.0,6.254250000000001,0.5
2012-07-31,803.197421153511,187402.75274438056,6.13,3.82,4.18,6.13,6.38425,0.5
2012-08-31,804.5455654295174,187914.629203694,6.2299999999999995,3.84,4.11,6.2299999999999995,6.484249999999999,0.5
2012-09-30,806.8902247778358,187324.99930301445,6.1499999999999995,3.76,4.07,6.1499999999999995,6.404249999999999,0.5
2012-10-31,808.6889702038683,186577.7830632514,5.9399999999999995,3.74,3.96,5.9399999999999995,6.19425,0.5
2012-11-30,809.6328628680955,186416.65743160827,5.9399999999999995,3.72,3.92,5.9399999999999995,6.19425,0.5
2012-12-31,811.1848754138351,186742.2029970378,5.6899999999999995,3.66,3.91,5.6899999999999995,5.94425,0.5
2013-01-31,812.4180170761457,185451.30806760758,5.16,3.53,3.71,5.16,5.414250000000001,0.5
2013-02-28,813.3075448684439,185816.2768775048,5.03,3.5,3.62,5.03,5.28425,0.5
2013-03-31,814.0184701167451,186511.47255619447,4.97,3.43,3.63,4.97,5.22425,0.5
2013-04-30,815.4282976128245,188889.8637393274,4.97,3.31,3.61,4.97,5.22425,0.5
2013-05-31,816.6943718417843,189522.49294302144,4.91,3.27,3.44,4.91,5.164250000000001,0.5
2013-06-30,817.4377069175814,190965.99006795607,4.89,3.23,3.41,4.89,5.1442499999999995,0.5
2013-07-31,818.7921240634257,193797.84195852937,4.88,3.17,3.39,4.88,5.13425,0.5
2013-08-31,820.1094267293953,195209.821397456,4.819999999999999,3.16,3.35,4.819999999999999,5.074249999999999,0.5
2013-09-30,820.8599059069523,196268.82070047045,4.859999999999999,3.09,3.4,4.859999999999999,5.11425,0.5
2013-10-31,821.7062205959226,195706.50287506534,4.72,3.04,3.37,4.72,4.97425,0.5
2013-11-30,823.2293082418539,196834.44049485974,4.438000000000001,3.05,3.36,4.438000000000001,5.32,0.5
2013-12-31,823.8250566300749,199669.94284718594,4.4455,3.06,3.34,4.4455,5.35,0.5
2014-01-31,825.1756403554626,199966.232096184,4.495,3.01,3.34,4.495,5.44,0.5
2014-02-28,825.5610733577278,201080.53040599404,4.550000000000001,3.05,3.45,4.550000000000001,5.45,0.5
2014-03-31,826.5744903293256,202029.3145147238,4.569,3.07,3.48,4.569,5.46,0.5
2014-04-30,827.410524481617,206946.96602195504,4.713,3.07,3.69,4.713,5.55,0.5
2014-05-31,828.0967067433352,209628.78550270078,4.737500000000001,3.13,3.72,4.737500000000001,5.57,0.5
2014-06-30,829.135389440669,211566.3225300575,4.7295,3.15,3.69,4.7295,5.58,0.5
2014-07-31,830.3479700296218,215432.22930824186,4.77,3.2,3.78,4.77,5.58,0.5
2014-08-31,831.1951559505139,218277.807806238,4.761,3.21,3.76,4.761,5.58,0.5
2014-09-30,832.1237149329152,218646.9395365046,4.721,3.22,3.61,4.721,5.63,0.5
2014-10-31,833.5481791252832,218397.5298832549,4.5405,3.18,3.27,4.5405,5.58,0.5
2014-11-30,835.4833594702909,217704.40198640877,4.4805,3.1,3.21,4.4805,5.52,0.5
2014-12-31,837.3896149154905,218515.18992855898,4.431,3.0,3.21,4.431,5.43,0.5
2015-01-31,839.8707091827844,218342.348144276,4.1735,2.81,3.09,4.1735,5.06,0.5
2015-02-28,841.3275832026485,218772.3883951908,4.1335,2.78,3.05,4.1335,5.02,0.5
2015-03-31,843.968984143579,218863.83150374627,4.08,2.68,2.98,4.08,4.98,0.5
2015-04-30,847.138525875588,221539.8374281234,4.053000000000001,2.64,2.92,4.053000000000001,4.98,0.5
2015-05-31,850.2073531974211,224065.35894755184,4.015000000000001,2.59,2.86,4.015000000000001,4.96,0.5
2015-06-30,851.6548179125284,225958.7684265551,3.997,2.56,2.82,3.997,4.96,0.5
