DATE,CFMBJ95
31 Jan 2004,4.42
29 Feb 2004,4.53
31 Mar 2004,4.62
30 Apr 2004,4.55
31 May 2004,4.71
30 Jun 2004,4.91
31 Jul 2004,5.12
31 Aug 2004,5.21
30 Sep 2004,5.35
31 Oct 2004,5.34
30 Nov 2004,5.34
31 Dec 2004,5.35
31 Jan 2005,5.31
28 Feb 2005,5.33
31 Mar 2005,5.33
30 Apr 2005,5.34
31 May 2005,5.34
30 Jun 2005,5.34
31 Jul 2005,5.27
31 Aug 2005,5.14
30 Sep 2005,4.97
31 Oct 2005,4.93
30 Nov 2005,4.9
31 Dec 2005,4.89
31 Jan 2006,4.94
28 Feb 2006,4.98
31 Mar 2006,4.97
30 Apr 2006,4.97
31 May 2006,4.95
30 Jun 2006,4.94
31 Jul 2006,4.97
31 Aug 2006,5.09
30 Sep 2006,5.16
31 Oct 2006,5.17
30 Nov 2006,5.21
31 Dec 2006,5.25
31 Jan 2007,5.34
28 Feb 2007,5.43
31 Mar 2007,5.43
30 Apr 2007,5.47
31 May 2007,5.52
30 Jun 2007,5.59
31 Jul 2007,5.71
31 Aug 2007,5.88
30 Sep 2007,5.94
31 Oct 2007,5.96
30 Nov 2007,6.02
31 Dec 2007,5.95
31 Jan 2008,5.92
29 Feb 2008,5.86
31 Mar 2008,5.82
30 Apr 2008,5.77
31 May 2008,5.8
30 Jun 2008,5.91
31 Jul 2008,6.02
31 Aug 2008,6.09
30 Sep 2008,6.09
31 Oct 2008,5.89
30 Nov 2008,5.25
31 Dec 2008,4.58
31 Jan 2009,4.14
28 Feb 2009,4.22
31 Mar 2009,4.08
30 Apr 2009,4.18
31 May 2009,4.27
30 Jun 2009,4.24
31 Jul 2009,4.23
31 Aug 2009,4.34
30 Sep 2009,4.3
31 Oct 2009,4.28
30 Nov 2009,4.13
31 Dec 2009,4.06
31 Jan 2010,3.9
28 Feb 2010,3.83
31 Mar 2010,3.86
30 Apr 2010,3.89
31 May 2010,3.86
30 Jun 2010,3.86
31 Jul 2010,3.84
31 Aug 2010,3.78
30 Sep 2010,3.79
31 Oct 2010,3.75
30 Nov 2010,3.67
31 Dec 2010,3.64
31 Jan 2011,3.54
28 Feb 2011,3.62
31 Mar 2011,3.7
30 Apr 2011,3.84
31 May 2011,3.85
30 Jun 2011,3.85
31 Jul 2011,3.69
31 Aug 2011,3.58
30 Sep 2011,3.5
31 Oct 2011,3.47
30 Nov 2011,3.39
31 Dec 2011,3.46
31 Jan 2012,3.4
29 Feb 2012,3.5
31 Mar 2012,3.64
30 Apr 2012,3.63
31 May 2012,3.74
30 Jun 2012,3.82
31 Jul 2012,3.82
31 Aug 2012,3.84
30 Sep 2012,3.76
31 Oct 2012,3.74
30 Nov 2012,3.72
31 Dec 2012,3.66
31 Jan 2013,3.53
28 Feb 2013,3.5
31 Mar 2013,3.43
30 Apr 2013,3.31
31 May 2013,3.27
30 Jun 2013,3.23
31 Jul 2013,3.17
31 Aug 2013,3.16
30 Sep 2013,3.09
31 Oct 2013,3.04
30 Nov 2013,3.05
31 Dec 2013,3.06
31 Jan 2014,3.01
28 Feb 2014,3.05
31 Mar 2014,3.07
30 Apr 2014,3.07
31 May 2014,3.13
30 Jun 2014,3.15
31 Jul 2014,3.2
31 Aug 2014,3.21
30 Sep 2014,3.22
31 Oct 2014,3.18
30 Nov 2014,3.1
31 Dec 2014,3
31 Jan 2015,2.81
28 Feb 2015,2.78
31 Mar 2015,2.68
30 Apr 2015,2.64
31 May 2015,2.59
30 Jun 2015,2.56
31 Jul 2015,2.57
31 Aug 2015,2.57
30 Sep 2015,2.57
31 Oct 2015,2.52
30 Nov 2015,2.55
31 Dec 2015,2.55
31 Jan 2016,2.49
29 Feb 2016,2.51
31 Mar 2016,2.49
30 Apr 2016,2.41
31 May 2016,2.41
30 Jun 2016,2.41
31 Jul 2016,2.31
31 Aug 2016,2.31
30 Sep 2016,2.27
31 Oct 2016,2.16
30 Nov 2016,2.17
31 Dec 2016,2.15
31 Jan 2017,2.05
28 Feb 2017,2.1
31 Mar 2017,2.11
30 Apr 2017,2.04
31 May 2017,2.06
30 Jun 2017,2.06
31 Jul 2017,1.96
31 Aug 2017,2
30 Sep 2017,1.99
31 Oct 2017,1.92
30 Nov 2017,1.99
31 Dec 2017,2.02
31 Jan 2018,2.04
28 Feb 2018,2.06
31 Mar 2018,2.07
30 Apr 2018,2.11
31 May 2018,2.12
30 Jun 2018,2.13
31 Jul 2018,2.11
31 Aug 2018,2.12
30 Sep 2018,2.12
31 Oct 2018,2.13
30 Nov 2018,2.14
31 Dec 2018,2.15
31 Jan 2019,2.11
28 Feb 2019,2.1
31 Mar 2019,2.13
30 Apr 2019,2.11
31 May 2019,2.09
30 Jun 2019,2.03
31 Jul 2019,2.06
31 Aug 2019,2.06
30 Sep 2019,2.02
31 Oct 2019,1.98
30 Nov 2019,1.88
31 Dec 2019,1.89
31 Jan 2020,1.87
29 Feb 2020,1.82
31 Mar 2020,1.84
30 Apr 2020,1.77
31 May 2020,1.74
30 Jun 2020,1.79
31 Jul 2020,1.75
31 Aug 2020,1.73
30 Sep 2020,1.75
31 Oct 2020,1.8
30 Nov 2020,1.84
31 Dec 2020,1.91
31 Jan 2021,1.85
28 Feb 2021,1.92
31 Mar 2021,1.96
30 Apr 2021,1.89
31 May 2021,1.91
30 Jun 2021,1.95
31 Jul 2021,1.84
31 Aug 2021,1.83
30 Sep 2021,1.79
31 Oct 2021,1.6
30 Nov 2021,1.51
31 Dec 2021,1.59
31 Jan 2022,1.59
28 Feb 2022,1.6
31 Mar 2022,1.74
30 Apr 2022,1.83
31 May 2022,1.96
30 Jun 2022,2.16
31 Jul 2022,2.33
31 Aug 2022,2.56
30 Sep 2022,2.85
31 Oct 2022,3.1
30 Nov 2022,3.36
31 Dec 2022,3.68
31 Jan 2023,3.89
28 Feb 2023,4.26
31 Mar 2023,4.44
30 Apr 2023,4.48
31 May 2023,4.57
30 Jun 2023,4.64
31 Jul 2023,4.67
31 Aug 2023,4.84
30 Sep 2023,5.03
31 Oct 2023,5.27
30 Nov 2023,5.37
31 Dec 2023,5.29
31 Jan 2024,5.21
29 Feb 2024,4.91
31 Mar 2024,4.76
30 Apr 2024,4.76
31 May 2024,4.81
30 Jun 2024,4.84
