DATE,IUMZO28
28 Feb 2019,2.56
31 Mar 2019,2.56
30 Apr 2019,2.54
31 May 2019,2.54
30 Jun 2019,2.53
31 Jul 2019,2.54
31 Aug 2019,2.5
30 Sep 2019,2.5
31 Oct 2019,2.49
30 Nov 2019,2.5
31 Dec 2019,2.49
31 Jan 2020,2.49
29 Feb 2020,2.49
31 Mar 2020,2.48
30 Apr 2020,2.39
31 May 2020,2.33
30 Jun 2020,2.5
31 Jul 2020,2.86
31 Aug 2020,3.02
30 Sep 2020,3.95
31 Oct 2020,4.16
30 Nov 2020,4.07
31 Dec 2020,3.8
31 Jan 2021,3.65
28 Feb 2021,3.51
31 Mar 2021,3.45
30 Apr 2021,3.45
31 May 2021,3.43
30 Jun 2021,3.36
31 Jul 2021,3.2
31 Aug 2021,2.96
30 Sep 2021,2.74
31 Oct 2021,2.62
30 Nov 2021,2.58
31 Dec 2021,2.47
31 Jan 2022,2.41
28 Feb 2022,2.42
31 Mar 2022,2.56
30 Apr 2022,2.67
31 May 2022,2.86
30 Jun 2022,3.18
31 Jul 2022,3.66
31 Aug 2022,3.8
30 Sep 2022,4.16
31 Oct 2022,5.8
30 Nov 2022,5.84
31 Dec 2022,5.41
31 Jan 2023,5.06
28 Feb 2023,4.73
31 Mar 2023,4.66
30 Apr 2023,4.57
31 May 2023,4.62
30 Jun 2023,5.2
31 Jul 2023,5.87
31 Aug 2023,5.82
30 Sep 2023,5.62
31 Oct 2023,5.38
30 Nov 2023,5.18
31 Dec 2023,5.01
31 Jan 2024,4.84
29 Feb 2024,4.7
31 Mar 2024,4.85
30 Apr 2024,4.91
31 May 2024,5.07
30 Jun 2024,5.07
31 Jul 2024,5.01
31 Aug 2024,4.88
30 Sep 2024,4.73
31 Oct 2024,4.69
30 Nov 2024,4.8
31 Dec 2024,4.8
31 Jan 2025,4.8
28 Feb 2025,4.81
31 Mar 2025,4.71
30 Apr 2025,4.66
31 May 2025,4.57
30 Jun 2025,4.58
31 Jul 2025,4.5
31 Aug 2025,4.43
30 Sep 2025,4.51
31 Oct 2025,4.49
30 Nov 2025,4.41
31 Dec 2025,4.35
31 Jan 2026,4.3
28 Feb 2026,4.32
31 Mar 2026,4.72
30 Apr 2026,5.22
31 May 2026,5.1
30 Jun 2026,4.94
31 Jul 2026,4.87
