DATE,IUM5WTL,IUM2WTL
31 Jan 1995,9.48,
28 Feb 1995,9.41,
31 Mar 1995,9.36,
30 Apr 1995,9.52,
31 May 1995,9.53,
30 Jun 1995,9.01,
31 Jul 1995,8.94,
31 Aug 1995,8.92,
30 Sep 1995,8.69,
31 Oct 1995,8.26,
30 Nov 1995,8.2,
31 Dec 1995,8.19,7.99
31 Jan 1996,7.93,6.7
29 Feb 1996,7.77,6.65
31 Mar 1996,7.82,6.49
30 Apr 1996,7.94,6.62
31 May 1996,8.2,7.01
30 Jun 1996,8.16,7.06
31 Jul 1996,8.25,7.12
31 Aug 1996,8.28,7.09
30 Sep 1996,8.16,7.06
31 Oct 1996,8.17,6.96
30 Nov 1996,8.02,6.94
31 Dec 1996,8.29,7.27
31 Jan 1997,8.34,7.35
28 Feb 1997,8.43,7.41
31 Mar 1997,8.1,7.18
30 Apr 1997,8.07,7.3
31 May 1997,8.08,7.2
30 Jun 1997,8.07,7.19
31 Jul 1997,7.97,7.23
31 Aug 1997,7.95,7.19
30 Sep 1997,7.91,7.09
31 Oct 1997,7.74,7.1
30 Nov 1997,7.46,7.06
31 Dec 1997,7.56,7.33
31 Jan 1998,7.54,7.33
28 Feb 1998,7.3,7.32
31 Mar 1998,7.22,7.26
30 Apr 1998,7.01,7.28
31 May 1998,6.96,7.35
30 Jun 1998,6.83,7.24
31 Jul 1998,7.06,7.35
31 Aug 1998,7.16,7.55
30 Sep 1998,7.04,7.49
31 Oct 1998,6.81,7.01
30 Nov 1998,6.7,6.82
31 Dec 1998,6.54,6.54
31 Jan 1999,6.06,5.97
28 Feb 1999,5.85,5.88
31 Mar 1999,6.07,5.95
30 Apr 1999,6,5.89
31 May 1999,6.04,5.96
30 Jun 1999,6.32,6
31 Jul 1999,6.39,6.17
31 Aug 1999,6.68,6.36
30 Sep 1999,6.73,6.45
31 Oct 1999,7.06,6.79
30 Nov 1999,7.1,6.77
31 Dec 1999,7.13,6.84
31 Jan 2000,7.17,6.9
29 Feb 2000,7.25,6.97
31 Mar 2000,7.05,6.68
30 Apr 2000,7.04,6.64
31 May 2000,6.97,6.52
30 Jun 2000,7,6.65
31 Jul 2000,6.97,6.59
31 Aug 2000,6.86,6.58
30 Sep 2000,6.84,6.6
31 Oct 2000,6.82,6.45
30 Nov 2000,6.77,6.29
31 Dec 2000,6.49,6.22
31 Jan 2001,6.29,6
28 Feb 2001,6.14,5.85
31 Mar 2001,6.06,5.82
30 Apr 2001,5.92,5.76
31 May 2001,5.88,5.71
30 Jun 2001,6.08,5.82
31 Jul 2001,6.26,6.16
31 Aug 2001,6.18,6
30 Sep 2001,6.05,5.59
31 Oct 2001,5.92,5.53
30 Nov 2001,5.74,5.31
31 Dec 2001,5.72,5.21
31 Jan 2002,5.89,5.34
28 Feb 2002,5.86,5.47
31 Mar 2002,5.94,5.47
30 Apr 2002,6.02,5.62
31 May 2002,6.04,5.67
30 Jun 2002,6.01,5.65
31 Jul 2002,5.93,5.55
31 Aug 2002,5.51,4.92
30 Sep 2002,5.22,4.72
31 Oct 2002,5.12,4.69
30 Nov 2002,5.15,4.68
31 Dec 2002,5.27,4.86
31 Jan 2003,5.12,4.69
28 Feb 2003,4.81,4.36
31 Mar 2003,4.88,4.2
30 Apr 2003,4.92,4.31
31 May 2003,4.81,4.18
30 Jun 2003,4.53,4.04
31 Jul 2003,4.66,4.08
31 Aug 2003,4.97,4.63
30 Sep 2003,5.2,4.86
31 Oct 2003,5.42,5.21
30 Nov 2003,5.59,5.34
31 Dec 2003,5.71,5.32
31 Jan 2004,5.59,5.19
29 Feb 2004,5.54,5.12
31 Mar 2004,5.56,5.17
30 Apr 2004,5.69,5.37
31 May 2004,5.68,5.33
30 Jun 2004,6.04,5.76
31 Jul 2004,6.01,5.69
31 Aug 2004,5.95,5.66
30 Sep 2004,5.97,5.63
31 Oct 2004,5.84,5.6
30 Nov 2004,5.72,5.42
31 Dec 2004,5.54,5.31
31 Jan 2005,5.41,5.3
28 Feb 2005,5.39,5.31
31 Mar 2005,5.49,5.48
30 Apr 2005,5.45,5.43
31 May 2005,5.33,5.27
30 Jun 2005,5.14,5.01
31 Jul 2005,5,4.76
31 Aug 2005,4.99,4.75
30 Sep 2005,4.98,4.74
31 Oct 2005,5.01,4.78
30 Nov 2005,5.17,4.98
31 Dec 2005,5.19,5.04
31 Jan 2006,5.11,4.96
28 Feb 2006,5.14,5.01
31 Mar 2006,5.14,5.04
30 Apr 2006,5.22,5.03
31 May 2006,5.47,5.23
30 Jun 2006,5.58,5.31
31 Jul 2006,5.6,5.39
31 Aug 2006,5.69,5.42
30 Sep 2006,5.67,5.44
31 Oct 2006,5.64,5.39
30 Nov 2006,5.72,5.51
31 Dec 2006,5.71,5.44
31 Jan 2007,5.89,5.68
28 Feb 2007,6,5.82
31 Mar 2007,6.03,5.88
30 Apr 2007,6.1,5.86
31 May 2007,6.1,6.05
30 Jun 2007,6.43,6.26
31 Jul 2007,6.59,6.33
31 Aug 2007,6.7,6.54
30 Sep 2007,6.67,6.32
31 Oct 2007,6.63,6.44
30 Nov 2007,6.58,6.47
31 Dec 2007,6.6,6.54
31 Jan 2008,6.33,6.41
29 Feb 2008,6.31,6.52
31 Mar 2008,6.41,6.59
30 Apr 2008,6.82,6.91
31 May 2008,6.98,..
30 Jun 2008,7.13,..
31 Jul 2008,7.14,..
31 Aug 2008,7.1,..
30 Sep 2008,7.1,..
31 Oct 2008,..,..
30 Nov 2008,..,..
31 Dec 2008,..,..
31 Jan 2009,..,..
28 Feb 2009,..,..
31 Mar 2009,..,..
30 Apr 2009,..,..
31 May 2009,..,..
30 Jun 2009,..,..
31 Jul 2009,..,..
31 Aug 2009,..,..
30 Sep 2009,..,..
31 Oct 2009,..,..
30 Nov 2009,..,..
31 Dec 2009,..,..
31 Jan 2010,..,..
28 Feb 2010,..,..
31 Mar 2010,..,..
30 Apr 2010,..,..
31 May 2010,..,..
30 Jun 2010,..,..
31 Jul 2010,..,..
31 Aug 2010,..,..
30 Sep 2010,..,..
31 Oct 2010,..,..
30 Nov 2010,..,..
31 Dec 2010,..,..
31 Jan 2011,..,..
28 Feb 2011,..,..
31 Mar 2011,..,..
30 Apr 2011,..,..
31 May 2011,..,..
30 Jun 2011,..,..
31 Jul 2011,..,..
31 Aug 2011,..,..
30 Sep 2011,..,..
31 Oct 2011,..,..
30 Nov 2011,..,..
31 Dec 2011,..,..
31 Jan 2012,..,..
29 Feb 2012,..,..
31 Mar 2012,..,..
30 Apr 2012,..,..
31 May 2012,..,..
30 Jun 2012,..,..
31 Jul 2012,..,..
31 Aug 2012,..,..
30 Sep 2012,..,..
31 Oct 2012,..,..
30 Nov 2012,..,..
31 Dec 2012,..,..
31 Jan 2013,..,..
28 Feb 2013,..,..
31 Mar 2013,..,..
30 Apr 2013,..,..
31 May 2013,..,..
30 Jun 2013,..,..
31 Jul 2013,..,..
31 Aug 2013,..,..
30 Sep 2013,..,..
31 Oct 2013,..,5.1
30 Nov 2013,5.32,5.04
31 Dec 2013,5.35,5.08
31 Jan 2014,5.44,5.05
28 Feb 2014,5.45,5.05
31 Mar 2014,5.46,5.06
30 Apr 2014,5.55,5.14
31 May 2014,5.57,5.2
30 Jun 2014,5.58,5.32
31 Jul 2014,5.58,5.33
31 Aug 2014,5.58,5.28
30 Sep 2014,5.63,5.28
31 Oct 2014,5.58,5.2
30 Nov 2014,5.52,5.27
31 Dec 2014,5.43,5.27
31 Jan 2015,5.06,4.74
28 Feb 2015,5.02,4.67
31 Mar 2015,4.98,4.72
30 Apr 2015,4.98,4.58
31 May 2015,4.96,4.57
30 Jun 2015,4.96,4.39
31 Jul 2015,4.97,4.32
31 Aug 2015,4.97,4.36
30 Sep 2015,4.88,4.22
31 Oct 2015,4.89,4.22
30 Nov 2015,4.85,4.13
31 Dec 2015,4.82,4.06
31 Jan 2016,4.71,3.95
29 Feb 2016,4.7,3.99
31 Mar 2016,4.68,3.92
30 Apr 2016,4.71,3.92
31 May 2016,4.68,3.93
30 Jun 2016,4.65,3.88
31 Jul 2016,4.65,3.85
31 Aug 2016,4.64,3.88
30 Sep 2016,4.62,3.84
31 Oct 2016,4.56,3.73
30 Nov 2016,4.6,3.66
31 Dec 2016,4.6,3.62
31 Jan 2017,4.58,3.62
28 Feb 2017,4.62,3.8
31 Mar 2017,4.7,3.99
30 Apr 2017,4.7,4.04
31 May 2017,4.72,4.19
30 Jun 2017,4.74,4.2
31 Jul 2017,4.67,4.07
31 Aug 2017,4.63,4.02
30 Sep 2017,4.68,4.01
31 Oct 2017,4.71,4.02
30 Nov 2017,4.58,3.97
31 Dec 2017,4.54,3.89
31 Jan 2018,4.49,3.82
28 Feb 2018,4.5,3.82
31 Mar 2018,4.44,3.77
30 Apr 2018,4.37,3.9
31 May 2018,4.43,3.95
30 Jun 2018,4.39,3.95
31 Jul 2018,4.29,3.78
31 Aug 2018,4.15,3.61
30 Sep 2018,3.94,3.38
31 Oct 2018,3.88,3.33
30 Nov 2018,3.81,3.23
31 Dec 2018,3.72,3.18
31 Jan 2019,3.64,3.04
28 Feb 2019,3.6,2.99
31 Mar 2019,3.57,2.97
30 Apr 2019,3.46,2.92
31 May 2019,3.46,2.93
30 Jun 2019,3.44,2.95
31 Jul 2019,3.39,2.96
31 Aug 2019,3.39,2.96
30 Sep 2019,3.37,2.99
31 Oct 2019,3.38,2.99
30 Nov 2019,3.37,2.99
31 Dec 2019,3.37,3
31 Jan 2020,3.34,3.02
29 Feb 2020,3.28,3.02
31 Mar 2020,3.29,3.02
30 Apr 2020,3.39,3.07
31 May 2020,3.49,3.17
30 Jun 2020,3.77,2.72
31 Jul 2020,4.04,2.58
31 Aug 2020,4.07,3.78
30 Sep 2020,4.23,3.95
31 Oct 2020,4.21,4.13
30 Nov 2020,4.37,4.2
31 Dec 2020,4.37,4.2
31 Jan 2021,4.41,4.16
28 Feb 2021,4.41,4.1
31 Mar 2021,4.3,4.16
30 Apr 2021,4.11,4.01
31 May 2021,4.02,3.88
30 Jun 2021,3.91,3.74
31 Jul 2021,3.77,3.53
31 Aug 2021,3.63,3.43
30 Sep 2021,3.46,3.22
31 Oct 2021,3.28,2.98
30 Nov 2021,3.2,2.91
31 Dec 2021,3.11,2.77
31 Jan 2022,3.07,2.73
28 Feb 2022,3.05,2.72
31 Mar 2022,3.08,2.8
30 Apr 2022,3.11,2.95
31 May 2022,3.26,3.2
30 Jun 2022,3.51,3.48
31 Jul 2022,4,3.96
31 Aug 2022,4.17,4.14
30 Sep 2022,4.54,4.67
31 Oct 2022,6.12,6.42
30 Nov 2022,6.2,6.59
31 Dec 2022,5.87,6.3
31 Jan 2023,5.56,6.02
28 Feb 2023,5.31,5.86
31 Mar 2023,5.19,5.77
30 Apr 2023,5.08,5.65
31 May 2023,5.15,5.67
30 Jun 2023,5.7,6.28
31 Jul 2023,6.26,6.88
31 Aug 2023,6.27,6.93
30 Sep 2023,6.01,6.75
31 Oct 2023,5.87,6.6
30 Nov 2023,5.71,6.38
31 Dec 2023,5.52,6.18
31 Jan 2024,5.24,5.87
29 Feb 2024,5.16,5.73
31 Mar 2024,5.3,5.83
30 Apr 2024,5.34,5.87
31 May 2024,5.48,6.04
30 Jun 2024,5.47,6.07
31 Jul 2024,5.43,5.97
31 Aug 2024,5.33,5.9
30 Sep 2024,5.23,5.76
31 Oct 2024,5.14,5.61
30 Nov 2024,5.24,5.69
31 Dec 2024,5.24,5.7
31 Jan 2025,5.25,5.69
28 Feb 2025,5.26,5.64
31 Mar 2025,5.12,5.44
30 Apr 2025,5.04,5.29
31 May 2025,4.95,5.1
30 Jun 2025,4.96,5.1
31 Jul 2025,4.88,5.05
31 Aug 2025,4.86,5
30 Sep 2025,4.9,5.03
31 Oct 2025,4.88,5
30 Nov 2025,4.81,4.91
31 Dec 2025,4.75,4.83
31 Jan 2026,4.73,4.8
28 Feb 2026,4.77,4.82
31 Mar 2026,5.12,5.23
30 Apr 2026,5.63,5.81
31 May 2026,5.42,5.65
30 Jun 2026,5.32,5.56
31 Jul 2026,5.29,5.49
