DATE,IUMBV34,IUMBV42,IUMB482,IUMBV45,IUM2WTL,IUMZICQ,IUMTLMV
31 Jan 1995,8.13,9.44,,9.93,,,8.21
28 Feb 1995,8.38,9.38,,9.96,,,8.33
31 Mar 1995,8.08,9.33,,9.94,,,8.36
30 Apr 1995,8.29,9.4,,9.94,,,8.36
31 May 1995,8.22,9.4,,9.94,,,8.36
30 Jun 1995,7.94,9.01,,9.46,,,8.35
31 Jul 1995,7.89,8.93,,9.13,,,8.36
31 Aug 1995,7.99,8.85,,9.19,,,8.36
30 Sep 1995,7.99,8.57,,9.13,,,8.36
31 Oct 1995,7.99,8.19,,9.17,,,8
30 Nov 1995,7.99,8.14,,9.06,,,7.96
31 Dec 1995,7.99,8.13,,9.04,7.99,,7.95
31 Jan 1996,6.7,7.87,,8.67,6.7,,7.72
29 Feb 1996,6.65,7.66,,8.57,6.65,,7.5
31 Mar 1996,6.49,7.7,,8.6,6.49,,7.46
30 Apr 1996,6.62,7.82,,8.7,6.62,,7.3
31 May 1996,7.01,8.18,,8.83,7.01,,7.17
30 Jun 1996,7.06,8.13,,8.76,7.06,,7.15
31 Jul 1996,7.12,8.25,,8.81,7.12,,7.15
31 Aug 1996,7.09,8.28,,8.85,7.09,,6.99
30 Sep 1996,7.06,8.16,,8.84,7.06,,6.93
31 Oct 1996,6.96,8.17,,8.77,6.96,,6.92
30 Nov 1996,6.94,8.02,,8.81,6.94,,6.92
31 Dec 1996,7.24,8.27,,8.75,7.27,,7.01
31 Jan 1997,7.29,8.31,,8.74,7.35,,7.18
28 Feb 1997,7.35,8.22,,8.76,7.41,,7.22
31 Mar 1997,7.11,7.98,,8.7,7.18,,7.21
30 Apr 1997,7.24,7.93,,8.71,7.3,,7.22
31 May 1997,7.15,8.02,,8.69,7.2,,7.27
30 Jun 1997,7.14,7.91,,8.69,7.19,,7.64
31 Jul 1997,7.2,7.91,,8.39,7.23,,7.86
31 Aug 1997,7.17,7.9,,8.37,7.19,,8.15
30 Sep 1997,7.06,7.67,,8.14,7.09,,8.33
31 Oct 1997,7.07,7.49,,8.03,7.1,,8.36
30 Nov 1997,7.04,7.33,,7.72,7.06,,8.37
31 Dec 1997,7.13,7.4,,7.71,7.33,,8.5
31 Jan 1998,7.13,7.31,,7.74,7.33,,8.56
28 Feb 1998,7.08,7.15,,7.61,7.32,,8.59
31 Mar 1998,7.02,7.06,,7.38,7.26,,8.59
30 Apr 1998,7.14,6.82,,7.25,7.28,,8.59
31 May 1998,7.12,6.83,,7.02,7.35,,8.59
30 Jun 1998,6.94,6.75,,6.96,7.24,,8.59
31 Jul 1998,7.08,6.94,,7,7.35,,8.8
31 Aug 1998,7.33,7.04,,7.08,7.55,,8.83
30 Sep 1998,7.27,6.93,,7.06,7.49,,8.87
31 Oct 1998,6.91,6.66,,6.86,7.01,,8.85
30 Nov 1998,6.66,6.51,,6.77,6.82,,8.58
31 Dec 1998,6.42,6.36,,6.53,6.54,,8
31 Jan 1999,5.9,5.9,,6.23,5.97,,7.6
28 Feb 1999,5.78,5.7,,6,5.88,,7.35
31 Mar 1999,5.64,5.8,,5.97,5.95,,6.85
30 Apr 1999,5.71,5.89,,5.98,5.89,,6.83
31 May 1999,5.72,5.97,,6.02,5.96,,6.75
30 Jun 1999,5.89,6.29,,6.07,6,,6.73
31 Jul 1999,6,6.3,,6.71,6.17,,6.72
31 Aug 1999,6.19,6.64,,6.83,6.36,,6.72
30 Sep 1999,6.22,6.67,,6.9,6.45,,6.72
31 Oct 1999,6.5,6.88,,7.44,6.79,,6.82
30 Nov 1999,6.6,6.94,,7.4,6.77,,6.87
31 Dec 1999,6.52,6.92,,7.32,6.84,,7.1
31 Jan 2000,6.78,7.09,,7.29,6.9,,7.13
29 Feb 2000,6.79,7.11,,0,6.97,,7.38
31 Mar 2000,6.45,6.94,,6.54,6.68,,7.62
30 Apr 2000,6.31,6.92,,6.54,6.64,,7.63
31 May 2000,6.39,6.9,,6.69,6.52,,7.64
30 Jun 2000,6.46,6.87,,6.69,6.65,,7.64
31 Jul 2000,6.37,6.81,,6.69,6.59,,7.64
31 Aug 2000,6.35,6.76,,6.69,6.58,,7.63
30 Sep 2000,6.31,6.7,,6.98,6.6,,7.59
31 Oct 2000,6.05,6.61,,6.99,6.45,,7.59
30 Nov 2000,6.06,6.58,,6.99,6.29,,7.59
31 Dec 2000,6.03,6.2,,6.99,6.22,,7.55
31 Jan 2001,5.78,6.14,,6.78,6,,7.56
28 Feb 2001,5.7,6,,6.37,5.85,,7.56
31 Mar 2001,5.68,5.91,,5.89,5.82,,7.27
30 Apr 2001,5.63,5.76,,5.89,5.76,,7.3
31 May 2001,5.65,5.78,,5.89,5.71,,7.03
30 Jun 2001,5.72,5.93,,5.99,5.82,,6.81
31 Jul 2001,5.92,6.07,,5.99,6.16,,6.81
31 Aug 2001,5.58,5.91,,5.89,6,,6.8
30 Sep 2001,5.39,5.77,,5.89,5.59,,6.54
31 Oct 2001,5.06,5.61,,5.59,5.53,,6.32
30 Nov 2001,4.84,5.49,,5.59,5.31,,6.06
31 Dec 2001,4.98,5.65,,5.59,5.21,,5.67
31 Jan 2002,5.06,5.66,,5.59,5.34,,5.66
28 Feb 2002,5.14,5.69,,5.59,5.47,,5.66
31 Mar 2002,5.22,5.79,,5.79,5.47,,5.65
30 Apr 2002,5.35,5.86,,5.89,5.62,,5.65
31 May 2002,5.43,5.87,,5.89,5.67,,5.66
30 Jun 2002,5.41,5.81,,5.77,5.65,,5.66
31 Jul 2002,5.3,5.72,,5.76,5.55,,5.66
31 Aug 2002,4.59,5.27,,5.6,4.92,,5.66
30 Sep 2002,4.5,5.06,,5.46,4.72,,5.65
31 Oct 2002,4.43,4.98,,5.7,4.69,,5.66
30 Nov 2002,4.45,5.01,,5.75,4.68,,5.65
31 Dec 2002,4.62,5.1,,5.76,4.86,,5.64
31 Jan 2003,4.5,4.99,,5.62,4.69,,5.64
28 Feb 2003,4.14,4.74,,5.42,4.36,,5.63
31 Mar 2003,4.06,4.76,,5.22,4.2,,5.49
30 Apr 2003,4.06,4.75,,5.42,4.31,,5.51
31 May 2003,3.91,4.64,,5.29,4.18,,5.5
30 Jun 2003,3.85,4.36,,4.94,4.04,,5.5
31 Jul 2003,3.87,4.48,,5.11,4.08,,5.5
31 Aug 2003,4.32,4.81,,5.49,4.63,,5.32
30 Sep 2003,4.56,5.05,,5.69,4.86,,5.31
31 Oct 2003,4.98,5.41,,5.9,5.21,,5.3
30 Nov 2003,5.1,5.54,,5.93,5.34,,5.32
31 Dec 2003,5.05,5.53,,5.55,5.32,,5.59
31 Jan 2004,4.95,5.43,,5.71,5.19,,5.59
29 Feb 2004,4.89,5.38,,5.72,5.12,,5.59
31 Mar 2004,4.9,5.39,,5.79,5.17,,5.81
30 Apr 2004,5.11,5.52,,5.91,5.37,,5.81
31 May 2004,5.18,5.57,,5.97,5.33,,5.82
30 Jun 2004,5.52,5.87,,6.15,5.76,,6.08
31 Jul 2004,5.53,5.88,,6.09,5.69,,6.32
31 Aug 2004,5.47,5.84,,6.09,5.66,,6.32
30 Sep 2004,5.33,5.79,,6.09,5.63,,6.59
31 Oct 2004,5.29,5.68,,6.03,5.6,,6.61
30 Nov 2004,5.06,5.49,,5.79,5.42,,6.6
31 Dec 2004,5.07,5.37,,5.65,5.31,,6.6
31 Jan 2005,4.99,5.2,,5.63,5.3,,6.61
28 Feb 2005,5.07,5.25,,5.68,5.31,,6.61
31 Mar 2005,5.2,5.28,,5.62,5.48,,6.61
30 Apr 2005,5.16,5.23,,5.42,5.43,,6.62
31 May 2005,4.91,5.05,,5.37,5.27,,6.62
30 Jun 2005,4.77,4.92,,5.21,5.01,,6.62
31 Jul 2005,4.59,4.84,,5.12,4.76,,6.61
31 Aug 2005,4.56,4.85,,5.12,4.75,,6.58
30 Sep 2005,4.52,4.82,,5.11,4.74,,6.4
31 Oct 2005,4.54,4.85,,5.14,4.78,,6.35
30 Nov 2005,4.74,4.98,,5.25,4.98,,6.35
31 Dec 2005,4.74,5,,5.24,5.04,,6.35
31 Jan 2006,4.62,4.92,,5.16,4.96,,6.36
28 Feb 2006,4.71,4.93,,5,5.01,,6.37
31 Mar 2006,4.72,4.98,,4.99,5.04,,6.41
30 Apr 2006,4.77,5.09,,5.2,5.03,,6.41
31 May 2006,5,5.36,,5.53,5.23,,6.4
30 Jun 2006,5,5.34,,5.52,5.31,,6.4
31 Jul 2006,5.01,5.31,,5.45,5.39,,6.4
31 Aug 2006,5.1,5.4,,5.46,5.42,,6.4
30 Sep 2006,5.1,5.39,,5.43,5.44,,6.65
31 Oct 2006,4.99,5.36,,5.36,5.39,,6.68
30 Nov 2006,5.2,5.48,,5.46,5.51,,6.7
31 Dec 2006,5.15,5.49,,5.4,5.44,,6.98
31 Jan 2007,5.32,5.61,,5.6,5.68,,7.01
28 Feb 2007,5.46,5.73,,5.7,5.82,,7.2
31 Mar 2007,5.55,5.73,,5.65,5.88,,7.19
30 Apr 2007,5.62,5.9,,5.73,5.86,,7.22
