yr,n,R_mean,R_median,buy_win_pct
2005,12,1.1172195358363861,1.1181676996569383,16.666666666666664
2006,12,1.6965166939908347,1.8160514475637237,0.0
2007,12,3.5018919851025423,3.709707367805671,0.0
2008,12,2.7169802880915177,3.1125614803190818,0.0
2009,12,1.0656462989281303,1.06438315265189,0.0
2010,12,1.0547912023437418,1.1439494916787178,33.33333333333333
2011,12,0.6982920055335314,0.6906709511430282,100.0
2012,12,0.8036032662073754,0.8069617843825432,100.0
2013,12,0.687151557029908,0.685757294095326,100.0
2014,12,0.8956691072778815,0.938959730507569,83.33333333333334
2015,12,0.9594993618290543,0.9591475115994363,50.0
2016,12,1.1220427858751691,1.08624602147426,0.0
2017,12,0.8689979501031662,0.8927048393793139,91.66666666666666
2018,12,0.7790129796314202,0.7757729265518947,100.0
2019,12,0.7598472226485624,0.7617223811383091,100.0
2020,12,0.880260254866919,0.8113574112708433,66.66666666666666
2021,7,1.0786845155347362,1.0664287223807751,14.285714285714285
