rent_basis,geography,n_cohorts,first_cohort,last_cohort,buy_win_pct,R_median,gap_median_gbp,pr_ratio_latest
one,Representative,79,2015-01,2021-07,49.36708860759494,1.0164539305208276,1306.189529539668,24.255354098112942
one,North East,79,2015-01,2021-07,73.41772151898735,0.7711001214856418,-10351.913237416244,21.896060606060605
one,North West,79,2015-01,2021-07,100.0,0.5915592329381925,-25354.30258242562,22.79782400765184
one,Yorkshire and The Humber,79,2015-01,2021-07,93.67088607594937,0.7045935493193632,-16893.46716625125,24.526279956427015
one,East Midlands,79,2015-01,2021-07,84.81012658227847,0.8064121373583003,-13020.977606507266,26.408809891808346
one,West Midlands,79,2015-01,2021-07,94.9367088607595,0.7109928688938698,-18553.542694827243,24.767021276595745
one,East of England,79,2015-01,2021-07,17.72151898734177,1.0910159173506404,6848.360875652288,26.104119850187267
one,London,79,2015-01,2021-07,0.0,1.4726406584260596,53813.39241099759,22.587595785440612
one,South East,79,2015-01,2021-07,24.050632911392405,1.0960658139961363,7112.5257363401615,25.400608519269777
one,South West,79,2015-01,2021-07,58.22784810126582,0.9143148405011822,-6142.426322767846,25.40161616161616
two,Representative,79,2015-01,2021-07,79.74683544303798,0.8116048254707681,-13141.060458713211,19.127382028716745
two,North East,79,2015-01,2021-07,91.13924050632912,0.5580988806317284,-18443.06960582616,17.453381642512078
two,North West,79,2015-01,2021-07,100.0,0.4359925843321739,-34839.93412998519,18.160095238095238
two,Yorkshire and The Humber,79,2015-01,2021-07,100.0,0.5404199048958196,-25588.4413687849,19.595409051348998
two,East Midlands,79,2015-01,2021-07,98.73417721518987,0.6475338113711216,-23818.215502088948,20.786496350364963
two,West Midlands,79,2015-01,2021-07,100.0,0.5577014829591073,-29138.330946223352,19.93236301369863
two,East of England,79,2015-01,2021-07,67.08860759493672,0.8900144332135856,-8494.678416552895,20.41534856473345
two,London,79,2015-01,2021-07,7.59493670886076,1.2246517937551293,25758.33596072343,17.824225245653817
two,South East,79,2015-01,2021-07,59.49367088607595,0.8832991449947123,-8898.524247402805,19.814082278481013
two,South West,79,2015-01,2021-07,87.34177215189874,0.7294384466750418,-21658.079891031193,19.807498424700693
all,Representative,79,2015-01,2021-07,94.9367088607595,0.7233900817388069,-19504.1196807867,17.384268441002476
all,North East,79,2015-01,2021-07,100.0,0.43451662195006546,-23867.96012154117,15.419760990183525
all,North West,79,2015-01,2021-07,100.0,0.3662218906168531,-40052.91318734265,16.53494623655914
all,Yorkshire and The Humber,79,2015-01,2021-07,100.0,0.4434547904521413,-30957.16425299782,17.413089713843775
all,East Midlands,79,2015-01,2021-07,100.0,0.5553137209556286,-29464.239672295655,18.612745098039216
all,West Midlands,79,2015-01,2021-07,100.0,0.47624105909683073,-34809.94395915334,17.982234809474768
all,East of England,79,2015-01,2021-07,91.13924050632912,0.7846621185242754,-16521.841196706548,18.136351808482956
all,London,79,2015-01,2021-07,22.78481012658228,1.1847576354125258,20572.41405145089,17.07316101940342
all,South East,79,2015-01,2021-07,82.27848101265823,0.7827583195951998,-17007.808174788304,17.699646643109542
all,South West,79,2015-01,2021-07,98.73417721518987,0.6036247631805373,-31794.04441540985,16.94125572621935
