horizon_years,n_cohorts,buy_win_pct,R_mean,R_median,gap_mean_gbp,gap_median_gbp,nw_buy_min_gbp,first_cohort,last_cohort
1,247,29.554655870445345,1.265269156188895,1.2099761835229157,6713.918425429925,6323.504306610579,-12345.910849168547,2005-01,2025-07
2,235,41.702127659574465,1.0468606203165052,1.102022949011658,4578.245366652774,5732.558196171776,-8822.317912465223,2005-01,2024-07
3,223,46.63677130044843,1.4710506426187322,1.0549864815296666,2889.1840751551745,2610.109295816612,6090.219724894094,2005-01,2023-07
4,211,47.39336492890995,1.3531664307463553,1.0148091904192607,-292.64250599250687,1034.0180783310352,8304.803060959151,2005-01,2022-07
5,199,51.256281407035175,1.2203008118205871,0.9801350942892295,-1744.4649872885216,-993.6236656575056,15769.40762116955,2005-01,2021-07
6,187,66.84491978609626,1.10764310213186,0.900086490039788,-4220.447635618544,-9410.484721140645,24021.31508842265,2005-01,2020-07
7,175,61.71428571428571,1.030835089405688,0.9177047526759368,-5270.0035690729,-9272.007771730481,44896.64087221111,2005-01,2019-07
8,163,60.122699386503065,0.9902200254429582,0.9487976832050602,-6813.014981572619,-5829.729854509351,54938.803378521334,2005-01,2018-07
9,151,64.23841059602648,0.9568565385101908,0.9507534657959176,-9584.104555959137,-5790.049171850289,72644.65761506272,2005-01,2017-07
10,139,61.15107913669065,0.9627668533088203,0.8914708275279555,-9495.597092795535,-14454.356070158305,93115.1746152123,2005-01,2016-07
