group,label,R_single,R_cohort_median,buy_win_share
base,base,1.444371926061739,0.9801350942892295,0.5125628140703518
deposit,5%,1.422278026313472,1.026031813717436,0.457286432160804
deposit,15%,1.515844855581565,0.975367913605454,0.5376884422110553
deposit,20%,1.5862049988890914,0.9739234228305722,0.5376884422110553
deposit,25%,1.6554961111772093,0.9902581945679952,0.5226130653266332
deposit,50%,2.0035418593068206,1.1084597364902207,0.20100502512562815
deposit,100%,2.5905685081993663,1.2182331690533408,0.08040201005025126
maintenance (UK-grounded),1.2%,1.2367876262839528,0.9194085569929903,0.628140703517588
maintenance (UK-grounded),1.8%,1.6519562258395242,1.042202733925049,0.4623115577889447
maintenance (beyond evidence),1.0%,1.0983980930987576,0.8708290965909509,0.7135678391959799
maintenance (beyond evidence),2.0%,1.7903457590247143,1.0813459897829625,0.4371859296482412
maintenance (beyond evidence),2.5%,2.1363195919876987,1.189677356556335,0.35678391959798994
maintenance (beyond evidence),3.0%,2.482293424950676,1.2839941746047283,0.17587939698492464
term,25y,1.5645750739561477,0.9983672736604349,0.507537688442211
term,35y,1.3623298404003068,0.9744623523594534,0.5326633165829145
fixation,2y,1.3967101075909665,0.8698792759918401,0.6532663316582915
fixation,5y,1.444371926061739,0.9801350942892295,0.5125628140703518
fixation,10y,1.4565136770134863,0.9801350942892295,0.5125628140703518
rate design,CFMBJ95 floating,1.199283551533132,0.7426199660578535,0.7386934673366834
renter leverage,1.25x,1.5657788479862567,1.0196306363185925,0.4824120603015075
renter leverage,1.50x,1.6871857699107715,1.0713536004227953,0.45226130653266333
renter leverage,1.75x,1.8085926918352857,1.1105765299863861,0.4221105527638191
renter leverage,2.00x,1.9299996137598026,1.1471736006727922,0.3768844221105528
purchase_costs,1.0%,1.4337660259216838,0.9706913501392698,0.5376884422110553
purchase_costs,2.0%,1.4867955266219575,1.0179100708890698,0.48743718592964824
selling_costs,1.0%,1.4300193918938657,0.9554731784566379,0.5678391959798995
selling_costs,4.0%,1.4853690826288057,1.066285420744641,0.457286432160804
sdlt,excluded,1.3913424253614672,0.94792167949492,0.5678391959798995
index,ACWI gross,1.6287957753787377,1.0067931830176555,0.49246231155778897
index,FTSE 100,0.7700784253259365,0.7578645606262692,0.6381909547738693
